repository_name,repository_url,commit_id,parent_commit_id,commit_url
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,45ea7ecc164dc3b0379696656406107fb090c346,46163bb989f5ed79458a4339dcf3310f55cfc18e,https://github.com/cloudfoundry/uaa/commit/45ea7ecc164dc3b0379696656406107fb090c346
apache/shenyu,https://github.com/apache/shenyu,51487bfd956866dae5e264c2c78a4a93af3d0389,a064481a57bae00440630835a6b6aae0ffca4de7,https://github.com/apache/shenyu/commit/51487bfd956866dae5e264c2c78a4a93af3d0389
JanusGraph/janusgraph,https://github.com/JanusGraph/janusgraph,76469e0497df2c3790bbe3bdfeb7f4fd790646a7,68f6b677926734d20b6c21a9c608562b5335268b,https://github.com/JanusGraph/janusgraph/commit/76469e0497df2c3790bbe3bdfeb7f4fd790646a7
INRIA/spoon,https://github.com/INRIA/spoon,21d953e0595f8aad6bac55cebbf57b1db27eb49e,1bcea4655ba7f330954d06f2624d0e072e9df7b2,https://github.com/INRIA/spoon/commit/21d953e0595f8aad6bac55cebbf57b1db27eb49e
vespa-engine/vespa,https://github.com/vespa-engine/vespa,18475e4b5a769053a67c3e7bb18be08ae43f306d,9daff68e0cfd4e88e43bfafb3b5085b4e9e0de0f,https://github.com/vespa-engine/vespa/commit/18475e4b5a769053a67c3e7bb18be08ae43f306d
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,5da47a01042023a615aaaff94ee8a6e07695c4aa,0d861dfe8b7a66b79b9cf05eb2ed118f3145ef5e,https://github.com/cloudfoundry/uaa/commit/5da47a01042023a615aaaff94ee8a6e07695c4aa
FasterXML/jackson-dataformat-xml,https://github.com/FasterXML/jackson-dataformat-xml,5d5aac9033e683e15d7b8bf0d4c4cf17f35ea117,216daec860d70b7c7e1193347cb6169739446137,https://github.com/FasterXML/jackson-dataformat-xml/commit/5d5aac9033e683e15d7b8bf0d4c4cf17f35ea117
cloudfoundry/uaa,https://github.com/cloudfoundry/uaa,c99c02bbb6ab2b25faef8c8bc6d4d1bc854043d1,45afb06c25193372784f8bc092e2ce00c7d4f450,https://github.com/cloudfoundry/uaa/commit/c99c02bbb6ab2b25faef8c8bc6d4d1bc854043d1
INRIA/spoon,https://github.com/INRIA/spoon,4899513dcdceed714053cbc93b557be50f1cc615,ab51a6538a46dab3a375d1308c55124f0cbe48d2,https://github.com/INRIA/spoon/commit/4899513dcdceed714053cbc93b557be50f1cc615
INRIA/spoon,https://github.com/INRIA/spoon,bb600f36450c10d237a603cb3c2dace1d7353020,c62a662b74c3f2132934c3c6f3e7cd67355aba32,https://github.com/INRIA/spoon/commit/bb600f36450c10d237a603cb3c2dace1d7353020
