Index,Commit URL,Type Name,Description,Memo,Agreement,Annotator Name,Path,Start Line (Before),End Line (Before),Start Line (After),End Line (After)
247,https://github.com/AICP/frameworks_base/commit/2fc27ebaec26afd1537499c972ddbaa724886817,Change Assertion Type,,,,Mont9165,services/tests/servicestests/src/com/android/server/pm/UserManagerTest.java,248,250,248,250
247,https://github.com/AICP/frameworks_base/commit/2fc27ebaec26afd1537499c972ddbaa724886817,Change Assertion Type,,,,Mont9165,services/tests/servicestests/src/com/android/server/pm/UserManagerTest.java,258,259,258,259
247,https://github.com/AICP/frameworks_base/commit/2fc27ebaec26afd1537499c972ddbaa724886817,Change Assertion Type,,,,Mont9165,services/tests/servicestests/src/com/android/server/pm/UserManagerTest.java,260,261,260,261
247,https://github.com/AICP/frameworks_base/commit/2fc27ebaec26afd1537499c972ddbaa724886817,Change Assertion Type,,,,Mont9165,services/tests/servicestests/src/com/android/server/pm/UserManagerTest.java,267,268,267,268
247,https://github.com/AICP/frameworks_base/commit/2fc27ebaec26afd1537499c972ddbaa724886817,Change Assertion Type,,,,Mont9165,services/tests/servicestests/src/com/android/server/pm/UserManagerTest.java,273,274,273,274
247,https://github.com/AICP/frameworks_base/commit/2fc27ebaec26afd1537499c972ddbaa724886817,Non-Refactoring,,,,Mont9165,,,,,
264,https://github.com/FasterXML/jackson-dataformats-text/commit/ea850727af5f84fc2fe706e3ca8d009aeb1f27dc,Non-Refactoring,Extract variable,,,Mont9165,,,,,
248,https://github.com/blackducksoftware/synopsys-detect/commit/8b024d4ea6d589e501ecc7ab7249dece2b56a0a0,Any Refactoring,Split parameterized test,,,Mont9165,,,,,
248,https://github.com/blackducksoftware/synopsys-detect/commit/8b024d4ea6d589e501ecc7ab7249dece2b56a0a0,Split Test Method,,,,Mont9165,detectable/src/test/java/com/synopsys/integration/detectable/detectables/npm/cli/unit/NpmDependencyTypeFilterTest.java,53,93,54,85
249,https://github.com/arianne/stendhal/commit/f97375461bd41407830b3cd5909fcce414f992b4,Non-Refactoring,,,,Mont9165,,,,,
250,https://github.com/cdancy/bitbucket-rest/commit/ced91ea56fd4c749b0d543c37cb3da11db2cee94,Non-Refactoring,,,,Mont9165,,,,,
251,https://github.com/MoreUnit/MoreUnit-Eclipse/commit/06068bae9401c8e5d112cd81450faca1b4c712ee,Any Refactoring,maybe use Test Helper,,,Mont9165,,,,,
252,https://github.com/matteobaccan/owner/commit/109e8425e849896c2a5897575fa73dcbcd1dbaf3,Test Helper,,,,Mont9165,src/test/java/org/aeonbits/owner/UtilTest.java,74,74,79,81
252,https://github.com/matteobaccan/owner/commit/109e8425e849896c2a5897575fa73dcbcd1dbaf3,Non-Refactoring,,,,Mont9165,,,,,
253,https://github.com/conveyal/r5/commit/135f8092803d0f6a1b1790c93c051a0b2285df5f,Any Refactoring,Create new class,,,Mont9165,,,,,
254,https://github.com/cassandre-tech/cassandre-trading-bot/commit/d77fd084d573a139f3f3927a590bfd00c0ed181e,Any Refactoring,Use Custom Annotation,,,Mont9165,,,,,
255,https://github.com/STAMP-project/dspot/commit/cea78d0f5710592b884ee54f729b48682bce441d,Any Refactoring,,,,Mont9165,,,,,
256,https://github.com/yegor256/takes/commit/532b83d08272330e4db42336f749a455ff735c20,Non-Refactoring,,,,Mont9165,,,,,
257,https://github.com/tronprotocol/java-tron/commit/6cacd676cbb96715f4e3fe5aa0fee7e218e48fe9,Non-Refactoring,,,,Mont9165,,,,,
258,https://github.com/PixelExperience/frameworks_base/commit/52cb2e1571107210d94666164641ddb95dbd4839,Mock Object,,,,Mont9165,tests/net/java/com/android/server/net/NetworkStatsServiceTest.java,198,199,187,200
259,https://github.com/Tencent/TencentKona-11/commit/5d6ddbed6ffdd199025cbb33ec492d29c602cce2,Any Refactoring,Comment refactoring,,,Mont9165,,,,,
260,https://github.com/camunda/zeebe-process-test/commit/9dca20bc2b120d53d32408ef363a0dee0e96a429,Non-Refactoring,,,,Mont9165,,,,,
261,https://github.com/PixelExperience/frameworks_base/commit/1581ad2f907f6a815f893edb21dda642a883b29a,Any Refactoring,Not test refactoring,,,Mont9165,,,,,
265,https://github.com/agrestio/agrest/commit/48be2e3a3be51123a67aa8b39ad656a301fa7f1f,SuiteFixture Setup,,,,Mont9165,,,,,
267,https://github.com/virtualsatellite/VirtualSatellite4-Core/commit/0832ee2b376b0516dcd23de296d4afaa15a42dec,Any Refactoring,AProjectTestCaseのsetUpを使ってる,,,Mont9165,,,,,
266,https://github.com/hapifhir/hapi-hl7v2/commit/42db129f4354c441ab257ebdb142f1ab0a382497,Non-Refactoring,,,,Mont9165,,,,,
268,https://github.com/vt-middleware/passay/commit/1efb5b8f571b5a0889892f23a122afac15120115,Any Refactoring,Inline variable,,,Mont9165,,,,,
269,https://github.com/PixelExperience/frameworks_base/commit/38f298d4fb8cf0ce8c9885748aad4c79d8bf89b3,Non-Refactoring,custom assertionを使ってるが，このクラスにはない,,,Mont9165,,,,,
270,https://github.com/confluentinc/kafka-connect-storage-cloud/commit/e4745b751e9d0d65f4120e3a5fc2c0e0f97ad6da,Creation Method,,,,Mont9165,,,,,
271,https://github.com/AdoptOpenJDK/jitwatch/commit/7788103ee76fde8751ccbe5adc03855c89ef4bdc,Non-Refactoring,JUnitのバージョン変更,,,Mont9165,,,,,
272,https://github.com/Baqend/Orestes-Bloomfilter/commit/a855f91f954e46802ca342bcdd57ae2a0b7644a2,Non-Refactoring,,,,Mont9165,,,,,
274,https://github.com/ldbc/ldbc_snb_interactive_v1_impls/commit/b673a0e26122dbea1d7f44b22ed78b6d74a3ed00,Implicit Setup,,,,Mont9165,,,,,
274,https://github.com/ldbc/ldbc_snb_interactive_v1_impls/commit/b673a0e26122dbea1d7f44b22ed78b6d74a3ed00,Any Refactoring,implicit teardown,,,Mont9165,,,,,
274,https://github.com/ldbc/ldbc_snb_interactive_v1_impls/commit/b673a0e26122dbea1d7f44b22ed78b6d74a3ed00,Any Refactoring,Split Test method,,,Mont9165,,,,,
273,https://github.com/jenkinsci/remoting/commit/ffb771d86a6b593b5dca95940947527c53810c93,Creation Method,,,,Mont9165,,,,,
275,https://github.com/TEAMMATES/teammates/commit/18f1b3459f80eae83fbf15ba0096d4f0836182d4,Non-Refactoring,,,,Mont9165,,,,,
