URL,Type Name,Description,Annotator Name,File Path,Start Line (Before),End Line (Before),Start Line (After),End Line (After),Index
https://github.com/TeamNewPipe/NewPipe/commit/08949ee3475994cb32881651aec78614fa69e992,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[]
https://github.com/TeamNewPipe/NewPipe/commit/08949ee3475994cb32881651aec78614fa69e992,Non-Refactoring,一般のリファクタリング,Mont9165,,,,,,[]
https://github.com/errai/errai/commit/eab61af8bfc2ddfd5757e7a16cacab11fea7be78,Non-Refactoring,普通のリファクタリング？,Yutaro-Kashiwa,,,,,,[69]
https://github.com/errai/errai/commit/eab61af8bfc2ddfd5757e7a16cacab11fea7be78,Delegated Setup,,Mont9165,,,,20.0,29.0,[69]
https://github.com/errai/errai/commit/eab61af8bfc2ddfd5757e7a16cacab11fea7be78,Delegated Setup,,Mont9165,integration/src/test/java/org/jboss/errai/cdi/client/test/EventObserverIntegrationTest.java,18.0,66.0,19.0,27.0,[69]
https://github.com/Tencent/TencentKona-17/commit/8452535d4937b26aa5318a8ca822acf5824be0c7,Non-Refactoring,テンプレートを使い出したから，ガラッと変わっている,Yutaro-Kashiwa,,,,,,[]
https://github.com/Tencent/TencentKona-17/commit/8452535d4937b26aa5318a8ca822acf5824be0c7,Non-Refactoring,Creation Methodはありそう．そのほかはリファクタリングではない,Mont9165,,,,,,[]
https://github.com/google/ExoPlayer/commit/cce79a70402a231ff1ae6924ea75d59c5680e7b4,Non-Refactoring,Rename,Yutaro-Kashiwa,,,,,,[]
https://github.com/google/ExoPlayer/commit/cce79a70402a231ff1ae6924ea75d59c5680e7b4,Non-Refactoring,Rename Variable,Mont9165,,,,,,[]
https://github.com/thoughtworks/HeartBeat/commit/961170ee1baaac445429f04f3d74c2fd333c7755,Parameterized Test,,Yutaro-Kashiwa,backend/src/test/java/heartbeat/service/report/GenerateReporterServiceTest.java,1139.0,1141.0,1335.0,1370.0,[]
https://github.com/thoughtworks/HeartBeat/commit/961170ee1baaac445429f04f3d74c2fd333c7755,Parameterized Test,,Mont9165,backend/src/test/java/heartbeat/service/report/GenerateReporterServiceTest.java,1135.0,1192.0,1335.0,1371.0,[]
https://github.com/groovy/groovy-core/commit/96355e7db94f6684d22c43e590d743c49a321258,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[73]
https://github.com/groovy/groovy-core/commit/96355e7db94f6684d22c43e590d743c49a321258,Non-Refactoring,これは他のコミットで実施されたリファクタリングに対応するため，テストを調整,Mont9165,,,,,,[73]
https://github.com/watson-developer-cloud/java-sdk/commit/30a2e0550280de3c518b5dca66fc3bf32509669d,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[74]
https://github.com/watson-developer-cloud/java-sdk/commit/30a2e0550280de3c518b5dca66fc3bf32509669d,Non-Refactoring,,Mont9165,,,,,,[74]
https://github.com/apache/paimon/commit/5adb553ad3d0146bcb4ffc10d87c88ca2a826a7f,Test Utility Method,,Yutaro-Kashiwa,paimon-core/src/test/java/org/apache/paimon/operation/FileStoreExpireDeleteDirTest.java,143.0,168.0,244.0,271.0,[]
https://github.com/apache/paimon/commit/5adb553ad3d0146bcb4ffc10d87c88ca2a826a7f,Delegated Setup,,Mont9165,paimon-core/src/test/java/org/apache/paimon/operation/FileStoreExpireDeleteDirTest.java,143.0,168.0,140.0,141.0,[]
https://github.com/jdbi/jdbi/commit/1c6380ba0d96681cc40388dd562b016bd496f739,Any Refactoring,setUpやめるのはリファクタリング？,Yutaro-Kashiwa,,,,,,[76]
https://github.com/jdbi/jdbi/commit/1c6380ba0d96681cc40388dd562b016bd496f739,Non-Refactoring,Rename Methodだけだと思うが，自動でやってそう,Mont9165,,,,,,[76]
https://github.com/openmainframeproject/cobol-check/commit/6064fd92e3158478e9fcbedb1fb3a8170ca94f4e,Non-Refactoring,Rename,Yutaro-Kashiwa,,,,,,[77]
https://github.com/openmainframeproject/cobol-check/commit/6064fd92e3158478e9fcbedb1fb3a8170ca94f4e,Non-Refactoring,Rename variable,Mont9165,,,,,,[77]
https://github.com/camunda/camunda/commit/a897401232f5e24d3cb0889c668acd5062297a84,Non-Refactoring,一般的なリファクタリング？,Yutaro-Kashiwa,,,,,,[]
https://github.com/camunda/camunda/commit/a897401232f5e24d3cb0889c668acd5062297a84,Non-Refactoring,Test Refactoringだと思うが，詳細がわからないためスキップ,Mont9165,,,,,,[]
https://github.com/camunda/camunda/commit/f6ad2a4fd64931e0ec6ed975df3f44d1c22450e1,Split Test Method,DeParameterizedテストでもある,Yutaro-Kashiwa,bpmn-model/src/test/java/io/camunda/zeebe/model/bpmn/validation/ZeebeValidationTest.java,41.0,62.0,28.0,65.0,[]
https://github.com/camunda/camunda/commit/f6ad2a4fd64931e0ec6ed975df3f44d1c22450e1,Any Refactoring,Junit5へのバージョンアップ,Mont9165,,,,,,[]
https://github.com/camunda/camunda/commit/f6ad2a4fd64931e0ec6ed975df3f44d1c22450e1,Testcase Class,,Mont9165,bpmn-model/src/test/java/io/camunda/zeebe/model/bpmn/validation/ZeebeValidationTest.java,41.0,62.0,1.0,66.0,[]
https://github.com/camunda/camunda/commit/45e12319e3c911128dfe87a1f478e2e7225604de,Non-Refactoring,,Yutaro-Kashiwa,,,,,,[]
https://github.com/camunda/camunda/commit/45e12319e3c911128dfe87a1f478e2e7225604de,Non-Refactoring,rename method,Mont9165,,,,,,[]
https://github.com/zebrunner/carina/commit/b9f356ce31bac1c9bddf567429a12170cdbd4be3,Non-Refactoring,すでにあるのはリファクタリングから外す？,Yutaro-Kashiwa,,,,,,[82]
